animals los animales
ant la hormiga
antler el asta
ape el mono
aquarium el acuario
barn el establo
beak el pico
bear el oso
beaver el castor
bee la abeja
beetle el escarabajo
blackbird el mirlo
bug el insecto
bunny el conejito
butterfly la mariposa
bull el toro
cage la jaula
camel el camello
canary el canario
cat el gato
caterpillar la oruga
chick el pollito
chicken el pollo
cicada la cigarra
claw la zarpa
cocoon el capullo
cow la vaca
coyote el coyote
crab el cangrejo
crane la grulla
crocodile el cocodrilo
crow el cuervo
deer el venado
dinosaur el dinosaurio
dog el perro
donkey el burro
dove la paloma
duck el pato
duckling el patito
eel la anguila
egg el huevo
elephant el elefante
elk el alce
feather la pluma
fin la aleta
fish el pez
flamingo el flamenco
fly la mosca
fox el zorro
frog la rana
gazelle la gacela
giraffe la jirafa
goat la cabra
goose el ganso
gorilla el gorila
grasshopper el saltamontes
hamster la marmota
hedgehog el erizo
hen la gallina
hive la colmena
hog el cerdo
horse el caballo
hyena la hiena
hoof el casco
insect el insecto
jaguar el jaguar
jay el arrendajo
jellyfish la medusa
kangaroo el canguro
kitten el gatito
koala el koala
ladybug la mariquita
lamb el cordero
lizard la lagartija
llama la llama
lobster la langosta
macaw el guacamayo
mammoth el mamut
marsupial el marsupial
mermaid la sirena
mole el topo
monkey el mono
monster el monstruo
moose el alce
mosquito el mosquito
moth la polilla
mutt el bobo
octopus el pulpo
ostrich el avestruz
otter la nutria
parrot el loro
pig el cerdo
pigeon la paloma
puppy el cachorro
quail la codorniz
quetzal el quetzal
rabbit el conejo
raccoon el mapache
rat la rata
reindeer el reno
rhinoceros el rinoceronte
roach la cucaracha
roadrunner el correcamino
robin el petirrojo
rooster el gallo
seal la foca
sheep la oveja
shrimp el camaron
snail el caracol
snake la culebra
squid el calamar
sponge la esponja
squirrel la ardilla
stable el establo
swan el cisne
tadpole el renacuajo
tiger el tigre
toad el sapo
toucan el toucan
turtle la tortuga
unicorn el unicornio
vulture el buitre
walrus el walrus
wasp la avispa
weasel la comadreja
whale la ballena
wolf el lobo
worm el gusano
zebra la cebra
